,,,gpu.1 latency,gpu.1 throughput
deeplabv3.xml_,FP16-INT8,_,1.95,563.23
,FP16,_,2.09,517.93
,FP32,_,3.92,268.98
fastseg-small,FP16-INT8,_,19.83,86.30
,FP16,_,20.20,86.42
fastseg-large,FP16-INT8,_,20.22,86.27
,FP16,_,25.15,66.64
yolov5s,FP16-INT8,1_3_640_640,1.60,854.04
,FP16,1_3_640_640,1.75,796.63
,FP32,1_3_640_640,3.11,406.39
,FP16-INT8,1_2048_2048_3,13.80,105.60
,FP16,1_2048_2048_3,16.74,80.27
,FP32,1_2048_2048_3,35.32,32.46
yolov5l,FP16-INT8,1_3_640_640,2.64,479.41
,FP16,1_3_640_640,3.42,359.89
,FP32,1_3_640_640,11.86,88.84
,FP16-INT8,1_2048_2048_3,20.78,61.06
,FP16,1_2048_2048_3,29.54,39.92
,FP32,1_2048_2048_3,143.65,7.16
sam,FP16-INT8,1_1024_1024_3,72.57,13.85
,FP16,1_1024_1024_3,64.41,15.65
mobile_sam,FP16-INT8,1_3_1024_1024,9.34,109.11
,FP16,1_3_1024_1024,8.34,122.22
,FP32,1_3_1024_1024,17.82,56.82
yolov8s,FP16-INT8,1_3_640_640,1.13,1059.55
,FP16,1_3_640_640,1.47,807.66
,FP32,1_3_640_640,3.90,274.14
,FP16-INT8,1_2048_2048_3,8.16,131.78
,FP16,1_2048_2048_3,11.10,95.22
,FP32,1_2048_2048_3,43.72,23.20
,FP16-INT8,4_2048_2048_3,33.19,128.40
,FP16,4_2048_2048_3,46.40,90.35
,FP32,4_2048_2048_3,171.28,23.64
yolov8l,FP16-INT8,1_3_640_640,2.48,448.94
,FP16,1_3_640_640,3.88,275.85
,FP32,1_3_640_640,16.71,61.06
,FP16-INT8,1_2048_2048_3,17.81,58.16
,FP16,1_2048_2048_3,29.59,34.36
,FP32,1_2048_2048_3,200.98,4.99
unet-camvid,FP16-INT8,_,5.75,209.85
,FP16,_,6.85,169.20
,FP32,_,33.39,30.86
mask_rcnn_resnet50,FP16-INT8,_,38.08,33.96
,FP16,_,60.35,19.26
,FP32,_,229.23,4.47
faster_rcnn_resnet50,FP16-INT8,_,7.87,164.92
,FP16,_,9.80,125.06
,FP32,_,44.43,23.16
detr-resnet50,FP16-INT8,_,3.23,359.25
,FP16,_,2.88,399.50
,FP32,_,6.58,162.35
mobilenet-v2,FP16-INT8,_,0.55,13576.84
,FP16,_,0.53,10283.87
mobilenet-v3,FP16-INT8,_,0.71,26113.59
,FP16,_,0.63,25990.91
resnet-50-pytorch,FP16-INT8,_,0.57,6981.28
,FP16,_,0.66,3975.83
efficientnet-v2,FP16-INT8,_,1.07,12282.29
,FP16,_,1.00,10401.97
,FP32,_,0.97,
swin-tiny-patch4,FP16-INT8,_,2.70,397.13
,FP16,_,2.35,477.96
,FP32,_,2.49,440.59
mobilevit,FP16-INT8,1_3_224_224,2.86,345.08
,FP16,1_3_224_224,2.37,425.04
,FP32,1_3_224_224,2.09,454.27
