,,,cpu latency,cpu throughput,gpu.0 latency,gpu.0 throughput,gpu.1 latency,gpu.1 throughput
deeplabv3.xml_,FP16-INT8,_,12.20,93.85,21.79,44.27,2.64,532.66
,FP16,_,37.41,24.05,40.08,24.61,2.61,497.70
,FP32,_,36.83,23.44,62.61,15.24,4.29,258.26
fastseg-small,FP16-INT8,_,92.85,10.39,123.27,8.08,20.62,86.35
,FP16,_,284.69,3.48,200.48,4.94,21.08,86.31
fastseg-large,FP16-INT8,_,143.04,7.20,204.67,4.85,21.24,86.29
,FP16,_,463.67,2.23,348.85,2.83,26.30,63.64
yolov5s,FP16-INT8,1_3_640_640,14.49,70.33,18.63,56.55,3.92,782.55
,FP16,1_3_640_640,38.58,25.08,27.68,37.07,3.69,745.90
,FP32,1_3_640_640,39.26,24.64,44.76,22.68,3.49,390.55
,FP16-INT8,1_2048_2048_3,145.22,7.06,179.60,5.58,14.92,97.43
,FP16,1_2048_2048_3,428.25,2.41,283.79,3.52,16.90,81.49
,FP32,1_2048_2048_3,437.90,2.33,476.51,2.09,35.28,32.62
yolov5l,FP16-INT8,1_3_640_640,67.75,14.64,79.33,12.80,4.73,457.36
,FP16,1_3_640_640,220.75,4.34,133.52,7.54,4.09,339.83
,FP32,1_3_640_640,228.56,4.17,249.67,4.02,12.28,87.80
,FP16-INT8,1_2048_2048_3,660.35,1.46,767.21,1.31,22.18,57.90
,FP16,1_2048_2048_3,2361.83,0.41,1378.20,0.72,29.83,40.00
,FP32,1_2048_2048_3,2222.42,0.73,2652.99,0.38,146.11,7.06
sam,FP16-INT8,1_1024_1024_3,1402.24,0.75,1456.44,0.68,77.42,13.30
,FP16,1_1024_1024_3,2077.54,0.49,1879.86,0.53,66.59,15.53
mobile_sam,FP16-INT8,1_3_1024_1024,109.32,7.28,205.38,4.88,11.20,103.81
,FP16,1_3_1024_1024,162.07,6.15,217.31,4.59,9.82,119.91
,FP32,1_3_1024_1024,161.90,5.99,307.17,3.24,19.28,55.48
yolov8s,FP16-INT8,1_3_640_640,19.80,49.75,23.20,45.01,4.55,923.32
,FP16,1_3_640_640,61.33,15.42,38.09,26.79,3.84,711.31
,FP32,1_3_640_640,63.53,14.82,69.05,14.64,4.42,261.13
,FP16-INT8,1_2048_2048_3,202.50,5.02,222.87,4.50,9.26,121.38
,FP16,1_2048_2048_3,680.34,1.49,384.13,2.60,12.10,90.49
,FP32,1_2048_2048_3,700.23,1.44,733.93,1.36,44.22,23.09
,FP16-INT8,4_2048_2048_3,843.63,5.01,888.33,4.50,36.18,118.57
,FP16,4_2048_2048_3,2765.01,1.49,1534.93,2.60,48.35,87.08
,FP32,4_2048_2048_3,2847.95,1.42,2919.60,1.37,172.16,23.56
yolov8l,FP16-INT8,1_3_640_640,94.73,10.10,109.85,9.20,4.81,412.85
,FP16,1_3_640_640,325.18,2.95,184.85,5.44,4.60,261.98
,FP32,1_3_640_640,339.60,2.85,365.04,2.75,17.23,59.98
,FP16-INT8,1_2048_2048_3,945.89,1.05,1058.37,0.95,19.42,54.81
,FP16,1_2048_2048_3,3490.78,0.28,2004.34,0.50,30.78,33.72
,FP32,1_2048_2048_3,3580.66,0.26,3851.54,0.26,204.89,4.91
unet-camvid,FP16-INT8,_,118.77,8.91,291.01,3.42,6.11,201.55
,FP16,_,455.51,2.30,441.03,2.25,7.07,166.48
,FP32,_,470.65,2.27,812.13,1.22,33.31,30.88
mask_rcnn_resnet50,FP16-INT8,_,680.99,1.58,1266.49,0.79,,
,FP16,_,2196.24,0.43,2469.90,0.40,62.19,19.56
,FP32,_,2203.90,0.43,4387.12,0.23,240.71,4.30
faster_rcnn_resnet50,FP16-INT8,_,88.68,12.60,185.26,5.45,,
,FP16,_,288.65,3.61,306.66,3.27,13.60,113.91
,FP32,_,289.65,3.60,656.98,1.51,47.26,22.13
detr-resnet50,FP16-INT8,_,20.33,63.48,65.54,15.90,9.34,385.82
,FP16,_,63.81,17.25,72.19,14.17,9.33,417.51
,FP32,_,63.52,17.31,128.51,7.83,9.83,154.47
mobilenet-v2,FP16-INT8,_,0.84,1919.24,2.01,866.60,2.08,11324.45
,FP16,_,1.67,648.98,2.97,543.61,2.26,9415.79
mobilenet-v3,FP16-INT8,_,0.55,6369.31,1.48,2452.92,2.47,23388.24
,FP16,_,0.68,3353.11,1.49,1836.70,2.23,23223.19
resnet-50-pytorch,FP16-INT8,_,3.18,406.23,7.12,169.74,2.79,6628.15
,FP16,_,11.34,104.61,12.51,116.52,3.81,3805.28
efficientnet-v2,FP16-INT8,_,1.76,1069.27,3.51,489.76,3.53,10854.82
,FP16,_,3.26,494.01,4.57,403.13,3.64,9955.04
,FP32,_,3.26,495.61,6.63,197.42,3.45,
swin-tiny-patch4,FP16-INT8,_,6.80,244.95,24.15,45.55,9.60,436.78
,FP16,_,15.37,77.01,24.35,44.11,8.02,596.07
,FP32,_,15.58,76.03,33.59,31.24,9.76,449.97
mobilevit,FP16-INT8,1_3_224_224,3.92,407.37,16.03,79.73,8.35,493.34
,FP16,1_3_224_224,6.71,197.50,12.35,95.67,8.69,597.23
,FP32,1_3_224_224,6.71,196.07,15.64,72.11,6.49,625.00
